,index,RMSE,MAE,R2
0,LSTM,35090.83324507033,31265.333333333332,0.7537604113280666
1,XGBoost,34463.973145880904,30254.666666666668,0.7624794436680555
2,RandomForest,33740.83532729048,29752.583333333332,0.772342388045596
3,LinearRegression,30750.273678998914,27353.0,0.8109100329701195
